Package type;Shape;Size;Opening;;Quality;Q-S-V;;Length;Width;Paperboard;Paperboard info;LDPE;LLDPE;PA6;PP;EVOH;LK-film;LK25-film;R2-film;K40-film;EVOH-film 3141;EVOH-film 3143;OPP-film;PET-film;Al thickness;;Top Eifel weight;Top others weight;Top Orion;Cap HDPE;DIMC LDPE;Opening HDPE;Opening LDPE;Opening PP;Pulltab area;Sales 2011;;Area;Paperboard weight;LDPE weight;LLDPE weight;PA6;PP;EVOH;LK36-film weight;LK25-film;R2;K40;EVOH-film 3141 weight;EVOH-film 3143 weight;OPP-film weight;PET-film weight;Al grammage;Al weight;LS-strip weight;Pulltab weight;;Package Weight;Top Weight;Package+Top Weight;CapWeight;Opening weight;Total Weight;GWP Raw mtrl sleeve;GWP Raw mtrl top/cap/opening;GWP Raw mtrl;GWP converting sleeve;GWP converting top/cap/opening;GWP transport;GWP converting & transport;GWP total;;Sleeve Weight;Top Weight;Sleeve+Top Weight;Cap Weight;Opening Weight;Total Weight;GWP Raw mtrl sleeve;GWP Raw mtrl top/cap/opening;GWP Raw mtrl;GWP converting & transport;GWP total;Updated;SystemImage;ShapeImage;VolumeImage;OpeningImage;LastImage
Tetra Brik;Square;500;Perforation;;TB/ml;6131-701-20;;186,67;292;255;1506 Duplex Stora Enso Tainionkoski 260 mN;40,1;18,9;;;;;;;;;;;;;;;;;;;;;;;1;;0,055;13,9;2,19;1,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;;17,22;0;17,21620076;0;0;17,22;16,6;0;16,6;3,1;0;0,4;3,6;20,1;;17;0;17;0;0;17;17;0;17;4;20;X;TBA_001;TBA_Square;TBA_Square_500;no_opening_TBA;TBA_500_Sq_no
Tetra Brik;Square;500;FlexiCap;;TB/ml;6065-701-59;;186,67;292;292;1626 CLC/C Duplex IP Sveto 260 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,35;;;;;1;;0,055;15,9;2,19;1,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;;19,23;0;19,23298344;0;1,35;20,58;17,9;2,8;20,7;3,1;0;0,5;3,6;24,4;;19;0;19;0;1;21;18;3;21;4;24;X;TBA_001;TBA_Square;TBA_Square_500;flexicap;TB_500_Square_SimplyPull
Tetra Brik;Square;500;SimplyTwist;;TB/ml;6065-701-73;;186,67;292;268;1626 CLC/C Duplex Korsn„s G„vle 260 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,13;1,05;;;;10633;;0,055;14,6;2,19;1,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;;17,92;0;17,92480008;0;2,18;20,1;17;4,4;21,4;3,1;1,4;0,5;4,9;26,4;;19;0;19;0;2;21;18;4;22;5;27;X;TBA_001;TBA_Square;TBA_Square_500;SimplyTwist_maxi;TB_500_square_simplytwist_maxi
Tetra Brik;Square;500;SimplyTwist;;TB/ml;6065-701-73;;186,67;292;270;1626 CLC/C Duplex Korsn„s Fr”vi 260 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,13;1,05;;;;1674;;0,055;14,7;2,19;1,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;;18,03;0;18,03381536;0;2,18;20,21;17,1;4,4;21,5;3,1;1,4;0,5;4,9;26,4;;;;;;;;;;;;;;;;;;
Tetra Brik;Square;500;SimplyTwist;;TB/ml;6065-701-73;;186,67;292;292;1626 CLC/C Duplex IP Sveto 260 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,13;1,05;;;;106640;;0,055;15,9;2,19;1,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;;19,23;0;19,23298344;0;2,18;21,41;17,9;4,4;22,3;3,1;1,4;0,5;5;27,3;;;;;;;;;;;;;;;;;;
Tetra Brik;Square;1000;Perforation;;TB/ml;6065-811-20;;285;292;288;1624 CLC/C Duplex Korsn„s Fr”vi 320 mN;40,1;18,9;;;;;;;;;;;;;;;;;;;;;;;5224;;0,083;24;3,34;1,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;;29,03;0;29,03124;0;0;29,03;27,1;0;27,1;4,7;0;0,8;5,5;32,6;;27;0;27;0;0;27;26;0;26;5;31;X;TBA_001;TBA_Square;TBA_Square;no_opening_TBA;TBA_1000_sq_no
Tetra Brik;Square;1000;Perforation;;TB/ml;6131-811-20;;285;292;259;1515 Duplex Korsn„s Fr”vi 320 mN;40,1;18,9;;;;;;;;;;;;;;;;;;;;;;;11544;;0,083;21,6;3,34;1,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;;26,62;0;26,61786;0;0;26,62;25,5;0;25,5;4,7;0;0,7;5,4;30,9;;;;;;;;;;;;;;;;;;
Tetra Brik;Square;1000;Perforation;;TB/ml;6131-811-20;;285;292;270;1515 Duplex Korsn„s G„vle 320 mN;40,1;18,9;;;;;;;;;;;;;;;;;;;;;;;473;;0,083;22,5;3,34;1,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;;27,53;0;27,53328;0;0;27,53;26,1;0;26,1;4,7;0;0,7;5,5;31,6;;;;;;;;;;;;;;;;;;
Tetra Brik;Square;1000;FlexiCap;;TB/ml;6065-811-59;;285;292;288;1624 CLC/C Duplex Korsn„s Fr”vi 320 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,35;;;;;1;;0,083;24;3,34;1,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;;29,03;0;29,03124;0;1,35;30,38;27,1;2,8;29,9;4,7;0;0,8;5,5;35,4;;29;0;29;0;1;30;27;3;30;6;35;X;TBA_001;TBA_Square;TBA_Square;flexicap;TB_1000_Square_SimplyPull
Tetra Brik;Square;1000;SimplyTwist;;TB/ml;6065-811-73;;285;292;288;1624 CLC/C Duplex Korsn„s Fr”vi 320 mN;40,1;18,9;;;;;;;;;;;;;;;;;;1,13;1,05;;;;735647;;0,083;24;3,34;1,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0,15;0;;29,03;0;29,03124;0;2,18;31,21;27,1;4,4;31,5;4,7;1,4;0,8;6,9;38,4;;29;0;29;0;2;31;27;4;31;7;38;X;TBA_001;TBA_Square;TBA_Square;SimplyTwist;TB_1000_Square_SimplyTwist
